time,closePrice
12/07/2019 22:19:00,11564.14
12/07/2019 22:20:00,11558.88
12/07/2019 22:21:00,11557.44
12/07/2019 22:22:00,11563.98
12/07/2019 22:23:00,11543.84
12/07/2019 22:24:00,11523.31
12/07/2019 22:25:00,11544.49
12/07/2019 22:26:00,11551.21
12/07/2019 22:27:00,11547.2
12/07/2019 22:28:00,11509.24
12/07/2019 22:29:00,11516.29
12/07/2019 22:30:00,11521.99
12/07/2019 22:31:00,11519.69
12/07/2019 22:32:00,11508.5
12/07/2019 22:33:00,11534.57
12/07/2019 22:34:00,11537.07
12/07/2019 22:35:00,11541.62
12/07/2019 22:36:00,11541.05
12/07/2019 22:37:00,11541.49
12/07/2019 22:38:00,11532.93
12/07/2019 22:39:00,11553.73
12/07/2019 22:40:00,11550.39
12/07/2019 22:41:00,11536.59
12/07/2019 22:42:00,11542.67
12/07/2019 22:43:00,11540.55
12/07/2019 22:44:00,11523.54
12/07/2019 22:45:00,11508.97
12/07/2019 22:46:00,11514.06
12/07/2019 22:47:00,11519.18
12/07/2019 22:48:00,11529.36
12/07/2019 22:49:00,11531.16
12/07/2019 22:50:00,11531.52
12/07/2019 22:51:00,11524.22
12/07/2019 22:52:00,11522.95
12/07/2019 22:53:00,11529.38
12/07/2019 22:54:00,11528.72
12/07/2019 22:55:00,11534.11
12/07/2019 22:56:00,11546.32
12/07/2019 22:57:00,11543.81
12/07/2019 22:58:00,11534.13
12/07/2019 22:59:00,11523.82
12/07/2019 23:00:00,11508.74
12/07/2019 23:01:00,11501.58
12/07/2019 23:02:00,11479.21
12/07/2019 23:03:00,11467.84
12/07/2019 23:04:00,11460.17
